ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9789866525612,5d43fad37e62ba2bae19f946,,町村敬志,都市,,2012-10-29,群學,书籍,社會顯露表象的時刻,,都市的社會學,,平装,7.6,19.0,蘇碩斌,368
9787802405301,5d43fad47e62ba2bae19f947,路从今夜白,,都市,,2010-4,大众文艺出版社,书籍,,,路从今夜白,26.80元,,6.9,4772.0,,315
9780195964912,5d43fad57e62ba2bae19f948,李歐梵作品（香港牛津版）,李歐梵,都市,,2000,牛津大學出版社,书籍,一種新都市文化在中國，1930-1945,,上海摩登,379,,8.8,42.0,,
9787508021935,5d43fad67e62ba2bae19f949,现代传播译丛·高校经典教材译丛,福特纳,都市,,1999-3-1,华夏出版社,书籍,全球都市的历史冲突与控制,,国际传播,39.00元,平装(无盘),7.3,25.0,刘利群,384
9787555234944,5d43fad67e62ba2bae19f94a,,,都市,,2016-3,青岛出版社,书籍,都市暖爱畅销作家沐清雨继《时光若有张不老的脸》《若你爱我如初》后超暖心力作。,,只要你也想念我,35.00,平装,,,,320
9787532628865,5d43fad67e62ba2bae19f94b,,顾卫民,都市,,2009-9,上海辞书出版社,书籍,葡萄牙文明东渐中的都市,,果阿,50.00元,平装,6.9,25.0,,290
9784326648504,5d43fad67e62ba2bae19f94c,,吉見俊哉,都市,,1996-5-15,勁草書房,书籍,21世紀の都市社会学4,,都市の空間・都市の身体,3708円,Hardcover,,,,262
9787539957449,5d43fad67e62ba2bae19f94d,,都市放牛,都市,,2012-12,江苏文艺出版社,书籍,,,非分之想,30.00元,,6.6,19.0,,263
9787543892613,5d43fad77e62ba2bae19f94e,,谢勤,都市,,2013-6,湖南人民出版社,书籍,都市白领自我疗愈的心路历程,,奔向幸福的旅程,32.00元,平装,,,,324
9787301269152,5d43fae07e62ba2bae19f94f,,费冬梅,都市,,2016-3,北京大学出版社,书籍,一种新都市文化与文学生产（1917—1937）,,沙龙,58.00元,平装,,,,380
