_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43ed7c51eceec5c308516a,佰仟金融,2000人以上,数据分析,2019-07-25,深圳,本科,数据分析师,领导好、福利好,经验3-5年,8k-15k,不需要融资,金融,6
5d43ed7c51eceec5c308516b,远鉴科技,50-150人,数据分析,2019-08-01,深圳,不限,数据分析师,人工智能,经验1-3年,8k-10k,D轮及以上,"移动互联网,人工智能",6
5d43ed7c51eceec5c308516c,平安产险,2000人以上,数据分析,2019-08-01,深圳,硕士,032303-数据分析师,"五险一金,绩效奖金,带薪年假,节日福利",经验3-5年,11k-22k,上市公司,金融,6
5d43ed7c51eceec5c308516d,乐信,2000人以上,数据分析,2019-07-26,深圳,本科,数据分析师 （桔子理财） (MJ000539),上市公司 五险一金 发展空间 团队激励,经验不限,15k-30k,上市公司,金融,6
5d43ed7d51eceec5c308516e,立创商城,150-500人,数据分析,2019-08-01,深圳,不限,数据分析师（用户）,"五险一金,周末双休,水果下午茶",经验不限,6k-10k,A轮,"电商,硬件",6
5d43ed7d51eceec5c308516f,YIDATEC,2000人以上,数据分析,2019-08-01,深圳,本科,数据分析师,六险一金，班车，年终奖，免费早餐,经验1-3年,8k-11k,不需要融资,"移动互联网,游戏",6
5d43ed7d51eceec5c3085170,深圳白骑士大数据有限公司,50-150人,数据分析,2019-07-19,深圳,本科,数据分析师,"平台大,创新型,有挑战",经验1-3年,8k-15k,A轮,"企业服务,金融",6
5d43ed7f51eceec5c3085171,一面数据,50-150人,数据分析,2019-08-0210:26:00,深圳,本科,数据分析师（数据资产方向）,大数据人工智能；名校系大牛；技术氛围浓,经验1-3年,10k-20k,A轮,"移动互联网,数据服务",7
5d43ed7f51eceec5c3085172,即有分期,500-2000人,数据分析,2019-08-0215:15:00,深圳,本科,数据分析师（评分卡）,多多年假 新业务发展多,经验3-5年,12k-20k,D轮及以上,金融,7
5d43ed7f51eceec5c3085173,百果科技,150-500人,数据分析,2019-08-0214:17:00,深圳,本科,数据分析师,五险一金 五天七小时 调薪机制,经验5-10年,10k-20k,B轮,"移动互联网,电商",7
5d43ed8051eceec5c3085174,TCL电子,2000人以上,数据分析,2019-08-0214:06:00,深圳,本科,数据分析师,平台大 团队好,经验1-3年,15k-25k,上市公司,"移动互联网,其他",7
5d43ed8051eceec5c3085175,百融云创,500-2000人,数据分析,2019-08-0210:24:00,深圳,本科,数据分析师,"六险一金,带薪年假,绩效奖金,年底双薪",经验3-5年,15k-30k,C轮,金融,7
