_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业
5d43ea9b51eceec5c30850da,上海科发,15-50人,数据分析,2019-08-01,上海,硕士,数据分析,数据 团队建设,经验应届毕业生,3k-4k,不需要融资,数据服务
5d43ea9b51eceec5c30850db,字节跳动,2000人以上,数据分析,2019-08-01,上海,本科,游戏数据分析师,弹性工作，免费三餐，租房补贴，带薪休假,经验3-5年,20k-30k,C轮,文娱丨内容
5d43ea9b51eceec5c30850dc,爱奇艺,2000人以上,数据分析,2019-07-18,上海,本科,广告数据分析师,发展前景好,经验3-5年,20k-35k,上市公司,文娱丨内容
5d43ea9b51eceec5c30850dd,哈啰出行,2000人以上,数据分析,2019-07-25,上海,本科,硬件数据分析 (MJ003743),五险一金 弹性工作 年终多薪 多次调薪,经验3-5年,13k-25k,D轮及以上,"移动互联网,硬件"
5d43ea9b51eceec5c30850de,卓永健康,15-50人,数据分析,2019-07-29,上海,本科,数据分析师,"公司前景好,上升空间大",经验3-5年,15k-20k,A轮,"移动互联网,医疗丨健康"
5d43ea9b51eceec5c30850df,淘集集,500-2000人,数据分析,2019-07-25,上海,本科,财务数据分析,福利待遇、发展前景、公司氛围,经验3-5年,15k-25k,B轮,电商
5d43ea9c51eceec5c30850e0,平安健康互联网,2000人以上,数据分析,2019-08-01,上海,本科,数据分析工程师,世界500强、晋升空间大、福利待遇好,经验3-5年,20k-28k,上市公司,"移动互联网,医疗丨健康"
5d43ea9c51eceec5c30850e1,永诚保险,2000人以上,数据分析,2019-07-27,上海,本科,数据分析及科学决策岗,带薪年假/定期体检/餐补/交通通讯补助/,经验3-5年,20k-40k,上市公司,"金融,移动互联网"
5d43ea9c51eceec5c30850e2,星魄科技,少于15人,数据分析,2019-07-17,上海,本科,数据分析,五险一金,经验3-5年,20k-30k,未融资,"企业服务,硬件"
5d43ea9c51eceec5c30850e3,SAS,2000人以上,数据分析,2019-08-01,上海,硕士,数据分析师,全球最佳雇主,经验5-10年,20k-40k,不需要融资,"企业服务,数据服务"
