_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43fb2f7e62ba2bae19f9d8,新浪网,2000人以上,数据挖掘,2019-08-0216:37:00,北京,本科,数据挖掘工程师,前景好，业务好，核心部门,经验1-3年,25k-50k,上市公司,文娱丨内容,10
5d43fb2f7e62ba2bae19f9d9,美菜网,2000人以上,数据挖掘,2019-07-23,北京,本科,数据挖掘工程师/专家(J13721),完成6轮融资待上市 仓储物流互联网于一体,经验5-10年,30k-50k,D轮及以上,电商,10
5d43fb2f7e62ba2bae19f9da,淘车二手车,2000人以上,数据挖掘,2019-07-31,北京,本科,数据挖掘工程师(J10740),弹性工作,经验3-5年,15k-30k,A轮,"移动互联网,电商",10
5d43fb2f7e62ba2bae19f9db,搜狗,2000人以上,数据挖掘,2019-08-0209:12:00,北京,硕士,搜狗输入法-数据挖掘研究员-北京-04091,核心团队,经验1-3年,20k-40k,上市公司,工具,10
5d43fb2f7e62ba2bae19f9dc,融慧金科,50-150人,数据挖掘,2019-08-0210:55:00,北京,本科,数据挖掘/模型开发工程师（实习）,优秀团队、免费零食水果、地铁周边,经验应届毕业生,4k-5k,A轮,"金融,数据服务",10
5d43fb307e62ba2bae19f9dd,云猜,15-50人,数据挖掘,2019-07-31,北京,本科,数据挖掘工程师,融资实力雄厚的初创型公司，绝不996,经验应届毕业生,4k-5k,不需要融资,"移动互联网,金融",10
5d43fb307e62ba2bae19f9de,金利恒,500-2000人,数据挖掘,2019-07-30,北京,本科,数据挖掘岗,"薪资待遇好,办公环境好,办公不压抑",经验3-5年,30k-50k,未融资,其他,10
5d43fb327e62ba2bae19f9df,字节跳动,2000人以上,数据挖掘,2019-08-0210:57:00,北京,本科,数据挖掘实习生-核心广告系统,弹性工作，免费三餐，租房补贴，休闲下午茶,经验不限,4k-8k,C轮,文娱丨内容,11
5d43fb327e62ba2bae19f9e0,360,2000人以上,数据挖掘,2019-07-30,北京,大专,数据挖掘工程师(画像方向),360安全,经验3-5年,20k-28k,上市公司,信息安全,11
5d43fb327e62ba2bae19f9e1,阅文集团,500-2000人,数据挖掘,2019-08-0211:50:00,北京,本科,算法/数据挖掘高级工程师,"技术大牛多,环境好,福利好,晋升快",经验3-5年,30k-50k,上市公司,文娱丨内容,11
5d43fb327e62ba2bae19f9e2,搜狗,2000人以上,数据挖掘,2019-08-0209:12:00,北京,硕士,智能对话–数据挖掘研究员,探索最前沿技术，团队气氛佳,经验1-3年,20k-40k,上市公司,工具,11
5d43fb337e62ba2bae19f9e3,北京大数据研究院,500-2000人,数据挖掘,2019-07-22,北京,不限,数据挖掘工程师,产学研结合，大牛带队,经验1-3年,15k-25k,不需要融资,"教育,其他",11
5d43fb337e62ba2bae19f9e4,广州市动景计算机科技有限公司,2000人以上,数据挖掘,2019-07-18,北京,本科,数据挖掘算法,平台好 发展空间大,经验3-5年,30k-60k,不需要融资,工具,11
5d43fb337e62ba2bae19f9e5,快手,2000人以上,数据挖掘,2019-07-18,北京,本科,数据挖掘,住房补助，带薪年假，最低14薪，管四餐,经验3-5年,20k-40k,D轮及以上,移动互联网,11
5d43fb337e62ba2bae19f9e6,酷云互动,150-500人,数据挖掘,2019-08-01,北京,本科,数据挖掘研发工程师,六险一金 13薪 绩效奖金 前景广 美女多,经验3-5年,20k-40k,B轮,"数据服务,广告营销",11
5d43fb337e62ba2bae19f9e7,新浪微博,2000人以上,数据挖掘,2019-07-15,北京,硕士,数据挖掘工程师,股票 出境游 开放社交TOP1,经验3-5年,30k-50k,上市公司,文娱丨内容,11
5d43fb347e62ba2bae19f9e8,人人公司,2000人以上,数据挖掘,2019-08-01,北京,本科,校招-数据挖掘工程师,大牛云集、季度奖金、弹性上班、班车,经验应届毕业生,10k-15k,上市公司,"社交,金融",11
5d43fb347e62ba2bae19f9e9,美团点评,2000人以上,数据挖掘,2019-07-30,北京,博士,自动驾驶数据挖掘专家-无人车,技术大牛,经验5-10年,35k-65k,上市公司,消费生活,11
5d43fb347e62ba2bae19f9ea,易筑工程设计,50-150人,数据挖掘,2019-07-24,北京,本科,数据挖掘工程师,发展前景好 三餐免费,经验5-10年,20k-30k,未融资,"金融,其他",11
5d43fb357e62ba2bae19f9eb,瓜子二手车,2000人以上,数据挖掘,2019-07-03,北京,硕士,数据挖掘工程师/专家,全年最高19薪+六险一金+靠谱团队,经验应届毕业生,21k-40k,A轮,"移动互联网,电商",11
5d43fb357e62ba2bae19f9ec,百度,2000人以上,数据挖掘,2019-07-24,北京,本科,北京-机器学习/数据挖掘/自然语言处理工程师,公司规模大 上市公司,经验应届毕业生,18k-25k,不需要融资,工具,11
5d43fb357e62ba2bae19f9ed,中科院自动化所,500-2000人,数据挖掘,2019-07-26,北京,本科,java数据挖掘工程师,带薪年假，年终奖金，节日补贴，定期体检,经验不限,15k-25k,未融资,"移动互联网,数据服务",11
